Datum,Tid (UTC),Nederbörd,Kvalitet,,Tidsutsnitt:
2022-12-09,06:00:00,snowfall,Y,,Data från senaste fyra månaderna
2022-12-09,18:00:00,snowfall,Y,,Tidsperiod (fr.o.m.) = 2022-12-09 00:00:01 (UTC)
2022-12-10,06:00:00,snowfall,Y,,Tidsperiod (t.o.m.) = 2023-04-18 17:00:00 (UTC)
2022-12-11,06:00:00,snowfall,Y,,Samplingstid = 12 timmar
2022-12-12,06:00:00,snowfall,Y,,Kvalitetskoderna:
2022-12-13,06:00:00,regnskurar,Y,,Grön (G) = Kontrollerade och godkända värden.
2022-12-14,06:00:00,snowfall,Y,,Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2022-12-14,18:00:00,snowfall,Y,,Nätinformation:
2022-12-15,06:00:00,snowfall,Y,,"SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI."
2022-12-18,06:00:00,snöbyar,Y,,Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2022-12-19,06:00:00,snöblandat regn,Y,,Möjliga orsaker till saknade data:
2022-12-19,18:00:00,snöblandat regn,Y,,- stationen eller givaren har varit ur funktion.
2022-12-20,06:00:00,snöblandat regn,Y,,- stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2022-12-20,18:00:00,regn,Y,,
2022-12-21,06:00:00,regn,Y,,
2022-12-22,06:00:00,regn,Y,,
2022-12-22,18:00:00,regn,Y,,
2022-12-23,06:00:00,snöblandat regn,Y,,
2022-12-24,06:00:00,snowfall,Y,,
2022-12-26,18:00:00,duggregn,Y,,
2022-12-27,06:00:00,regn,Y,,
2022-12-28,18:00:00,snöblandat regn,Y,,
2022-12-29,06:00:00,duggregn,Y,,
2022-12-29,18:00:00,regn,Y,,
2022-12-31,06:00:00,regn,Y,,
2023-01-02,06:00:00,regn,Y,,
2023-01-02,18:00:00,regn,Y,,
2023-01-03,06:00:00,regn,Y,,
2023-01-04,18:00:00,snowfall,Y,,
2023-01-05,06:00:00,snöbyar,Y,,
2023-01-05,18:00:00,snowfall,Y,,
2023-01-06,06:00:00,snowfall,Y,,
2023-01-06,18:00:00,snowfall,Y,,
2023-01-07,06:00:00,snowfall,Y,,
2023-01-07,18:00:00,snöblandat regn,Y,,
2023-01-08,06:00:00,regn,Y,,
2023-01-08,18:00:00,regn,Y,,
2023-01-10,06:00:00,regn,Y,,
2023-01-10,18:00:00,duggregn,Y,,
2023-01-11,18:00:00,regn,Y,,
2023-01-12,18:00:00,regn,Y,,
2023-01-13,18:00:00,regn,Y,,
2023-01-14,06:00:00,duggregn,Y,,
2023-01-14,18:00:00,regn,Y,,
2023-01-15,06:00:00,regn,Y,,
2023-01-15,18:00:00,regn,Y,,
2023-01-16,06:00:00,regn,Y,,
2023-01-17,18:00:00,regn,Y,,
2023-01-18,06:00:00,regnskurar,Y,,
2023-01-20,18:00:00,regn,Y,,
2023-01-21,18:00:00,kornsnö,Y,,
2023-01-25,06:00:00,regn,Y,,
2023-01-26,06:00:00,duggregn,Y,,
2023-01-26,18:00:00,regn,Y,,
2023-01-29,18:00:00,duggregn,Y,,
2023-02-01,18:00:00,snöblandat regn,Y,,
2023-02-02,06:00:00,snowfall,Y,,
2023-02-06,06:00:00,snöbyar,Y,,
2023-02-11,06:00:00,snöblandat regn,Y,,
2023-02-13,06:00:00,regn,Y,,
2023-02-17,18:00:00,regn,Y,,
2023-02-18,06:00:00,regn,Y,,
2023-02-20,18:00:00,regn,Y,,
2023-02-21,18:00:00,snowfall,Y,,
2023-02-23,06:00:00,snöblandat regn,Y,,
2023-02-23,18:00:00,snöblandat regn,Y,,
2023-02-25,06:00:00,snowfall,Y,,
2023-02-26,06:00:00,snowfall,Y,,
2023-03-05,18:00:00,snöhagel,Y,,
2023-03-06,06:00:00,snowfall,Y,,
2023-03-07,18:00:00,snowfall,Y,,
2023-03-08,06:00:00,snowfall,Y,,
2023-03-08,18:00:00,snowfall,Y,,
2023-03-10,06:00:00,snowfall,Y,,
2023-03-13,18:00:00,snöblandat regn,Y,,
2023-03-14,18:00:00,duggregn,Y,,
2023-03-15,06:00:00,snöblandat regn,Y,,
2023-03-18,06:00:00,regn,Y,,
2023-03-18,18:00:00,regn,Y,,
2023-03-19,06:00:00,regn,Y,,
2023-03-20,06:00:00,regn,Y,,
2023-03-20,18:00:00,regn,Y,,
2023-03-22,06:00:00,regn,Y,,
2023-03-22,18:00:00,regn,Y,,
2023-03-24,18:00:00,regn,Y,,
2023-03-25,06:00:00,regn,Y,,
2023-03-25,18:00:00,snöblandat regn,Y,,
2023-03-26,06:00:00,snowfall,Y,,
2023-03-27,06:00:00,snowfall,Y,,
2023-03-27,18:00:00,snowfall,Y,,
2023-03-28,06:00:00,snowfall,Y,,
2023-03-28,18:00:00,snowfall,Y,,
2023-03-29,18:00:00,snowfall,Y,,
2023-03-30,18:00:00,snöblandat regn,Y,,
2023-04-05,18:00:00,snowfall,Y,,
2023-04-06,06:00:00,snöblandat regn,Y,,
2023-04-07,06:00:00,snöblandat regn,Y,,
2023-04-13,06:00:00,regn,Y,,
2023-04-13,18:00:00,regn,Y,,
2023-04-14,06:00:00,regn,Y,,